"Year","Title","Budget","Worldwide","Release","Duration","MPAA.Rating","IMDB.Rating","Genre","Award","Nomination","MPAA.Category","Month","Profitability","CPI","Profitability.Adjusted","Worldwide.Adjusted","Budget.Adjusted"
"2019","The Green Mile",6e+07,290701374,"10/12/2019",189,"R",8.6,"Crime",0,0,"X",12,230701374,255.7,342568764.993031,431662841.648084,89094076.6550523
"2019","Mars Attacks!",8e+07,101371017,"13/12/2019",106,"PG-13",6.4,"Comedy",0,0,"TV-MA",12,21371017,255.7,31733850.4465738,150525952.65331,118792102.206736
"2019","The Straight Story",1e+07,6199310,"15/10/2019",112,"G",8,"Biography",0,0,"PG",10,-3800690,255.7,-5643649.43670151,9205363.33914053,14849012.775842
"2019","Trippin’",3e+06,9017070,"12/5/2019",94,"R",5.3,"Comedy",0,0,"X",5,6017070,255.7,8934754.93031359,13389458.7630662,4454703.83275261
"2019","Highlander",1.6e+07,12900000,"7/3/2019",116,"R",7.1,"Action",0,0,"X",3,-3100000,255.7,-4603193.96051103,19155226.4808362,23758420.4413473
"2019","Silverado",2.6e+07,33200000,"10/7/2019",133,"PG-13",7.2,"Action",0,0,"TV-MA",7,7200000,255.7,10691289.1986063,49298722.4157956,38607433.2171893
"2019","Deep Rising",4.5e+07,11203026,"30/1/2019",106,"R",6.1,"Action",0,0,"X",1,-33796974,255.7,-50185169.8710801,16635387.6202091,66820557.4912892
"2019","Eraser",1e+08,234400000,"21/6/2019",115,"R",6.2,"Action",0,0,"X",6,134400000,255.7,199570731.707317,348060859.465738,148490127.75842
"2019","Sgt. Bilko",3.9e+07,37956589,"29/3/2019",93,"PG",5.8,"Comedy",0,0,"PG",3,-1043411,255.7,-1549362.32694541,56361787.4988386,57911149.825784
"2019","The Truman Show",6e+07,264118201,"5/6/2019",103,"PG",8.2,"Comedy",0,0,"PG",6,204118201,255.7,303095377.443089,392189454.098142,89094076.6550523
"2019","Life",7.5e+07,73521587,"16/4/2019",130,"PG",8.6,"Drama",0,0,"PG",4,-1478413,255.7,-2195297.3524971,109172298.466318,111367595.818815
"2019","Flirting with Disaster",7e+06,16149180,"22/3/2019",92,"R",6.7,"Comedy",0,0,"X",3,9149180,255.7,13585629.0708479,23979938.0139373,10394308.9430894
"2019","The Postman",8e+07,20841123,"25/12/2019",177,"R",6.1,"Action",0,0,"X",12,-59158877,255.7,-87845092.0377468,30947010.1689896,118792102.206736
"2019","Papillon",13500000,53292989,"16/12/2019",133,"R",7.2,"Adventure",0,0,"X",12,39792989,255.7,59088660.2049942,79134827.452381,20046167.2473868
